(1, 956628)
(2, 957132)
(3, 957540)
(4, 958196)
(5, 958204)
(6, 958388)
(7, 958468)
(8, 958500)
(9, 958532)
(10, 958780)
(11, 958868)
(12, 958900)
(13, 958972)
(14, 958980)
(15, 959044)
(16, 959324)
(17, 959420)
(18, 959516)
(19, 959524)
(20, 959580)
(21, 959764)
(22, 959772)
(23, 959796)
(24, 959836)
(25, 959980)
(26, 960044)
(27, 960060)
(28, 960092)
(29, 960180)
(30, 960300)
(31, 960340)
(32, 960340)
(33, 960380)
(34, 960380)
(35, 960516)
(36, 960652)
(37, 960660)
(38, 960692)
(39, 960756)
(40, 960836)
(41, 960948)
(42, 960948)
(43, 960948)
(44, 960972)
(45, 960980)
(46, 961236)
(47, 961244)
(48, 961260)
(49, 961308)
(50, 961332)
(51, 961332)
(52, 961340)
(53, 961356)
(54, 961404)
(55, 961420)
(56, 961444)
(57, 961548)
(58, 961564)
(59, 961572)
(60, 961588)
(61, 961652)
(62, 961668)
(63, 961676)
(64, 961684)
(65, 961716)
(66, 961716)
(67, 961724)
(68, 961732)
(69, 961764)
(70, 961852)
(71, 961860)
(72, 962020)
(73, 962044)
(74, 962092)
(75, 962124)
(76, 962140)
(77, 962204)
(78, 962260)
(79, 962308)
(80, 962340)
(81, 962396)
(82, 962652)
(83, 962724)
(84, 962788)
(85, 962796)
(86, 962948)
(87, 962964)
(88, 963116)
(89, 963148)
(90, 963148)
(91, 963236)
(92, 963244)
(93, 963332)
(94, 963836)
(95, 963900)
(96, 963996)
(97, 964244)
(98, 964868)
(99, 965404)
(100, 965636)
