(1, 673812)
(2, 686924)
(3, 737692)
(4, 738348)
(5, 748524)
(6, 779516)
(7, 788676)
(8, 794316)
(9, 794876)
(10, 796124)
(11, 800172)
(12, 812524)
(13, 816852)
(14, 820220)
(15, 820884)
(16, 822324)
(17, 826356)
(18, 832204)
(19, 833004)
(20, 836476)
(21, 843316)
(22, 868068)
(23, 869796)
(24, 870220)
(25, 872004)
(26, 872252)
(27, 874436)
(28, 883468)
(29, 885860)
(30, 886756)
(31, 887124)
(32, 891340)
(33, 895684)
(34, 898476)
(35, 906348)
(36, 907164)
(37, 909116)
(38, 914388)
(39, 914404)
(40, 915316)
(41, 919644)
(42, 920980)
(43, 923068)
(44, 930468)
(45, 935420)
(46, 935604)
(47, 935620)
(48, 936340)
(49, 940988)
(50, 946428)
(51, 947948)
(52, 949660)
(53, 954004)
(54, 960348)
(55, 964548)
(56, 965604)
(57, 967388)
(58, 979548)
(59, 981820)
(60, 982604)
(61, 991396)
(62, 998340)
(63, 999788)
(64, 1000868)
(65, 1001556)
(66, 1004860)
(67, 1006948)
(68, 1008420)
(69, 1009860)
(70, 1012020)
(71, 1016164)
(72, 1021756)
(73, 1022780)
(74, 1025236)
(75, 1027172)
(76, 1029324)
(77, 1038068)
(78, 1041772)
(79, 1050668)
(80, 1060780)
(81, 1068348)
(82, 1082812)
(83, 1086100)
(84, 1090132)
(85, 1097412)
(86, 1098612)
(87, 1103916)
(88, 1108428)
(89, 1115484)
(90, 1118524)
(91, 1124044)
(92, 1143692)
(93, 1146652)
(94, 1150884)
(95, 1172364)
(96, 1196372)
(97, 1205836)
(98, 1206532)
(99, 1206732)
(100, 1226180)
