(1, 932028)
(2, 932540)
(3, 935620)
(4, 936540)
(5, 941196)
(6, 945236)
(7, 946012)
(8, 947156)
(9, 947884)
(10, 948652)
(11, 949876)
(12, 950364)
(13, 951436)
(14, 951620)
(15, 951676)
(16, 951772)
(17, 952772)
(18, 953020)
(19, 953220)
(20, 953452)
(21, 954332)
(22, 955076)
(23, 955116)
(24, 955364)
(25, 955404)
(26, 955452)
(27, 955556)
(28, 955772)
(29, 956076)
(30, 956164)
(31, 956268)
(32, 956356)
(33, 956708)
(34, 956812)
(35, 956836)
(36, 956860)
(37, 957068)
(38, 957516)
(39, 957564)
(40, 957940)
(41, 958108)
(42, 958844)
(43, 958852)
(44, 959028)
(45, 959452)
(46, 959636)
(47, 959740)
(48, 959900)
(49, 960180)
(50, 960276)
(51, 960612)
(52, 961508)
(53, 961588)
(54, 961596)
(55, 962092)
(56, 962332)
(57, 962684)
(58, 962932)
(59, 963580)
(60, 963812)
(61, 964188)
(62, 964364)
(63, 964556)
(64, 964932)
(65, 965524)
(66, 965668)
(67, 965868)
(68, 965916)
(69, 966044)
(70, 966324)
(71, 966620)
(72, 966996)
(73, 967316)
(74, 967428)
(75, 967940)
(76, 968380)
(77, 969060)
(78, 969060)
(79, 969300)
(80, 970124)
(81, 970244)
(82, 970756)
(83, 970812)
(84, 971284)
(85, 971500)
(86, 971500)
(87, 971668)
(88, 972556)
(89, 972956)
(90, 973964)
(91, 975492)
(92, 975508)
(93, 975668)
(94, 975924)
(95, 976116)
(96, 978596)
(97, 978628)
(98, 979396)
(99, 981764)
(100, 988708)
