(1, 828308)
(2, 854236)
(3, 862596)
(4, 868668)
(5, 871076)
(6, 879676)
(7, 882252)
(8, 890588)
(9, 890980)
(10, 903228)
(11, 904420)
(12, 905556)
(13, 908084)
(14, 911300)
(15, 912356)
(16, 913348)
(17, 919188)
(18, 920596)
(19, 922628)
(20, 922748)
(21, 924324)
(22, 924364)
(23, 924476)
(24, 924724)
(25, 924964)
(26, 926956)
(27, 929476)
(28, 929764)
(29, 930476)
(30, 931068)
(31, 933228)
(32, 934596)
(33, 937476)
(34, 940108)
(35, 940700)
(36, 941364)
(37, 943996)
(38, 945460)
(39, 945532)
(40, 945908)
(41, 946420)
(42, 946516)
(43, 947060)
(44, 949684)
(45, 950748)
(46, 950860)
(47, 953276)
(48, 955780)
(49, 955988)
(50, 956732)
(51, 956764)
(52, 958692)
(53, 961596)
(54, 962572)
(55, 963244)
(56, 963356)
(57, 963580)
(58, 965460)
(59, 965692)
(60, 967052)
(61, 968132)
(62, 968700)
(63, 969340)
(64, 969492)
(65, 970204)
(66, 975492)
(67, 976620)
(68, 977508)
(69, 981516)
(70, 982452)
(71, 982604)
(72, 982740)
(73, 983252)
(74, 983652)
(75, 985300)
(76, 987092)
(77, 988524)
(78, 989588)
(79, 991380)
(80, 993164)
(81, 993924)
(82, 996396)
(83, 998636)
(84, 999916)
(85, 1007428)
(86, 1008772)
(87, 1009852)
(88, 1010044)
(89, 1011084)
(90, 1011740)
(91, 1014132)
(92, 1018316)
(93, 1022900)
(94, 1022932)
(95, 1023276)
(96, 1024292)
(97, 1038644)
(98, 1043204)
(99, 1073020)
(100, 1073484)
